page_id,fixture,title_match,legacy_records_count,canonical_extractions_count
18b4750c-f3ba-80bf-8703-db27a50b8f28,fixtures\reading_list\18b4750c-f3ba-80bf-8703-db27a50b8f28.json,False,0,1
18b4750c-f3ba-80ee-be85-c86f9e7d8bbf,fixtures\reading_list\18b4750c-f3ba-80ee-be85-c86f9e7d8bbf.json,False,0,1
18c4750c-f3ba-8008-a03a-c2176d5517a8,fixtures\reading_list\18c4750c-f3ba-8008-a03a-c2176d5517a8.json,False,0,1
18c4750c-f3ba-8008-a36d-e58a8865f9e3,fixtures\reading_list\18c4750c-f3ba-8008-a36d-e58a8865f9e3.json,False,0,1
18c4750c-f3ba-8009-9b80-e3ad7e32e394,fixtures\reading_list\18c4750c-f3ba-8009-9b80-e3ad7e32e394.json,False,0,1
18c4750c-f3ba-800a-bb2d-f1d25e1094a9,fixtures\reading_list\18c4750c-f3ba-800a-bb2d-f1d25e1094a9.json,False,0,2
18c4750c-f3ba-800f-87b5-dbdbf1d32668,fixtures\reading_list\18c4750c-f3ba-800f-87b5-dbdbf1d32668.json,False,0,1
18c4750c-f3ba-8010-9cc5-f7c88979ec06,fixtures\reading_list\18c4750c-f3ba-8010-9cc5-f7c88979ec06.json,False,0,1
18c4750c-f3ba-8016-8d49-f8f616b84df9,fixtures\reading_list\18c4750c-f3ba-8016-8d49-f8f616b84df9.json,False,0,1
18c4750c-f3ba-8018-8ec7-d75dd3086231,fixtures\reading_list\18c4750c-f3ba-8018-8ec7-d75dd3086231.json,False,0,1
18c4750c-f3ba-801a-81d7-e1af648768b5,fixtures\reading_list\18c4750c-f3ba-801a-81d7-e1af648768b5.json,False,0,1
18c4750c-f3ba-8021-9fcc-d59300f8d999,fixtures\reading_list\18c4750c-f3ba-8021-9fcc-d59300f8d999.json,False,0,1
18c4750c-f3ba-8027-abbb-dab43b275901,fixtures\reading_list\18c4750c-f3ba-8027-abbb-dab43b275901.json,False,0,0
18c4750c-f3ba-8032-9a23-cdf3509f7019,fixtures\reading_list\18c4750c-f3ba-8032-9a23-cdf3509f7019.json,False,0,1
18c4750c-f3ba-8037-9662-ccfd37d9f5fe,fixtures\reading_list\18c4750c-f3ba-8037-9662-ccfd37d9f5fe.json,False,0,0
18c4750c-f3ba-803a-bfef-e5fde34bf0c3,fixtures\reading_list\18c4750c-f3ba-803a-bfef-e5fde34bf0c3.json,False,0,1
18c4750c-f3ba-8040-86c5-df2b44511b20,fixtures\reading_list\18c4750c-f3ba-8040-86c5-df2b44511b20.json,False,0,1
18c4750c-f3ba-8048-a68c-fb554951556f,fixtures\reading_list\18c4750c-f3ba-8048-a68c-fb554951556f.json,False,0,2
18c4750c-f3ba-8048-ad6b-e8da3b9172cf,fixtures\reading_list\18c4750c-f3ba-8048-ad6b-e8da3b9172cf.json,False,0,1
18c4750c-f3ba-804a-946f-c635264dddb5,fixtures\reading_list\18c4750c-f3ba-804a-946f-c635264dddb5.json,False,0,1
18c4750c-f3ba-804d-b82d-c9789da2575c,fixtures\reading_list\18c4750c-f3ba-804d-b82d-c9789da2575c.json,False,0,1
18c4750c-f3ba-804e-81ee-e45b186197f5,fixtures\reading_list\18c4750c-f3ba-804e-81ee-e45b186197f5.json,False,0,1
18c4750c-f3ba-8050-8f38-e60906ecd1ee,fixtures\reading_list\18c4750c-f3ba-8050-8f38-e60906ecd1ee.json,False,0,0
18c4750c-f3ba-8060-b86b-cd8f95c569df,fixtures\reading_list\18c4750c-f3ba-8060-b86b-cd8f95c569df.json,False,0,1
18c4750c-f3ba-8062-842c-e18fda26dfd7,fixtures\reading_list\18c4750c-f3ba-8062-842c-e18fda26dfd7.json,False,0,1
18c4750c-f3ba-8064-818e-d3f9281abcab,fixtures\reading_list\18c4750c-f3ba-8064-818e-d3f9281abcab.json,False,0,1
18c4750c-f3ba-8064-a4da-db81327e4be6,fixtures\reading_list\18c4750c-f3ba-8064-a4da-db81327e4be6.json,False,0,1
18c4750c-f3ba-8065-9023-d2b59f2a4c38,fixtures\reading_list\18c4750c-f3ba-8065-9023-d2b59f2a4c38.json,False,0,1
18c4750c-f3ba-806c-b5af-fc5a7890e8d8,fixtures\reading_list\18c4750c-f3ba-806c-b5af-fc5a7890e8d8.json,False,0,1
18c4750c-f3ba-806e-aafd-fd71985d31e0,fixtures\reading_list\18c4750c-f3ba-806e-aafd-fd71985d31e0.json,False,0,0
18c4750c-f3ba-806e-b25a-ceba832aed36,fixtures\reading_list\18c4750c-f3ba-806e-b25a-ceba832aed36.json,False,0,1
18c4750c-f3ba-8076-8b0e-db8227b15ac8,fixtures\reading_list\18c4750c-f3ba-8076-8b0e-db8227b15ac8.json,False,0,1
18c4750c-f3ba-8078-aef1-cc70d0113f2c,fixtures\reading_list\18c4750c-f3ba-8078-aef1-cc70d0113f2c.json,False,0,1
18c4750c-f3ba-807a-9d2d-c69acf618c38,fixtures\reading_list\18c4750c-f3ba-807a-9d2d-c69acf618c38.json,False,0,1
18c4750c-f3ba-8081-92c4-c26fee99d47c,fixtures\reading_list\18c4750c-f3ba-8081-92c4-c26fee99d47c.json,False,0,1
18c4750c-f3ba-8085-9404-ed3871e1e89d,fixtures\reading_list\18c4750c-f3ba-8085-9404-ed3871e1e89d.json,False,0,1
18c4750c-f3ba-8086-8901-daa7ee79b59f,fixtures\reading_list\18c4750c-f3ba-8086-8901-daa7ee79b59f.json,False,0,1
18c4750c-f3ba-8088-bbb5-e82aee13cbcd,fixtures\reading_list\18c4750c-f3ba-8088-bbb5-e82aee13cbcd.json,False,0,1
18c4750c-f3ba-8089-afda-fe542aa520e0,fixtures\reading_list\18c4750c-f3ba-8089-afda-fe542aa520e0.json,False,0,0
18c4750c-f3ba-8093-856f-efcb99126d44,fixtures\reading_list\18c4750c-f3ba-8093-856f-efcb99126d44.json,False,0,1
18c4750c-f3ba-8094-a8cc-e2bbe0dc5e67,fixtures\reading_list\18c4750c-f3ba-8094-a8cc-e2bbe0dc5e67.json,False,0,1
18c4750c-f3ba-8096-9ff6-d8dd7a507f26,fixtures\reading_list\18c4750c-f3ba-8096-9ff6-d8dd7a507f26.json,False,0,1
18c4750c-f3ba-809d-9f55-f4f4aadcf7cc,fixtures\reading_list\18c4750c-f3ba-809d-9f55-f4f4aadcf7cc.json,False,0,1
